date,country,continent,flights,new_cases,stringency_index
2020-01-06,Russia,EU,1162,0.0,0.0
2020-01-06,Saudi Arabia,AS,194,0.0,0.0
2020-01-06,Sweden,EU,405,0.0,0.0
2020-01-06,Singapore,AS,461,0.0,13.89
2020-01-06,Slovenia,EU,24,0.0,0.0
2020-01-06,Slovakia,EU,26,0.0,0.0
2020-01-06,Thailand,AS,693,0.0,0.0
2020-01-06,Turkey,AS,439,0.0,0.0
2020-01-06,Taiwan,AS,468,,8.33
2020-01-06,Ukraine,EU,124,0.0,0.0
2020-01-06,Vietnam,AS,22,0.0,0.0
2020-01-07,United Arab Emirates,AS,617,0.0,0.0
2020-01-07,Armenia,AS,30,0.0,
2020-01-07,Austria,EU,300,0.0,0.0
2020-01-07,Bangladesh,AS,3,0.0,0.0
2020-01-07,Belgium,EU,352,0.0,0.0
2020-01-07,Bulgaria,EU,1,0.0,0.0
2020-01-07,Bahrain,AS,42,0.0,0.0
2020-01-07,Brunei,AS,18,0.0,11.11
2020-01-07,Belarus,EU,52,0.0,0.0
2020-01-07,Switzerland,EU,535,0.0,0.0
2020-01-07,China,AS,297,0.0,2.78
2020-01-07,Czechia,EU,144,0.0,0.0
2020-01-07,Germany,EU,2061,0.0,0.0
2020-01-07,Denmark,EU,360,0.0,0.0
2020-01-07,Estonia,EU,41,0.0,0.0
2020-01-07,Spain,EU,1072,0.0,0.0
2020-01-07,Finland,EU,275,0.0,0.0
2020-01-07,France,EU,1194,0.0,0.0
2020-01-07,United Kingdom,EU,2037,0.0,0.0
2020-01-07,Greece,EU,149,0.0,0.0
2020-01-07,Hong Kong,AS,431,,13.89
2020-01-07,Croatia,EU,41,0.0,0.0
2020-01-07,Hungary,EU,125,0.0,0.0
2020-01-07,Indonesia,AS,52,0.0,5.56
2020-01-07,Ireland,EU,296,0.0,0.0
2020-01-07,Israel,AS,139,0.0,0.0
2020-01-07,India,AS,1637,0.0,0.0
2020-01-07,Iran,AS,2,0.0,0.0
2020-01-07,Iceland,EU,38,0.0,0.0
2020-01-07,Italy,EU,1170,0.0,0.0
2020-01-07,Japan,AS,803,0.0,2.78
2020-01-07,South Korea,AS,569,0.0,0.0
2020-01-07,Kazakhstan,AS,56,0.0,0.0
2020-01-07,Lebanon,AS,51,0.0,0.0
2020-01-07,Sri Lanka,AS,79,0.0,0.0
2020-01-07,Lithuania,EU,14,0.0,0.0
2020-01-07,Luxembourg,EU,75,0.0,0.0
2020-01-07,Latvia,EU,97,0.0,0.0
2020-01-07,Malta,EU,37,0.0,0.0
2020-01-07,Malaysia,AS,649,0.0,0.0
2020-01-07,Netherlands,EU,551,0.0,0.0
2020-01-07,Norway,EU,377,0.0,0.0
2020-01-07,Philippines,AS,328,0.0,0.0
2020-01-07,Pakistan,AS,6,0.0,0.0
2020-01-07,Poland,EU,403,0.0,0.0
2020-01-07,Portugal,EU,373,0.0,0.0
2020-01-07,Qatar,AS,312,0.0,0.0
2020-01-07,Romania,EU,30,0.0,0.0
2020-01-07,Serbia,EU,45,0.0,0.0
2020-01-07,Russia,EU,955,0.0,0.0
2020-01-07,Saudi Arabia,AS,170,0.0,0.0
2020-01-07,Sweden,EU,397,0.0,0.0
2020-01-07,Singapore,AS,424,0.0,13.89
2020-01-07,Slovenia,EU,22,0.0,0.0
2020-01-07,Slovakia,EU,24,0.0,0.0
2020-01-07,Thailand,AS,607,0.0,0.0
2020-01-07,Turkey,AS,171,0.0,0.0
2020-01-07,Taiwan,AS,410,,8.33
2020-01-07,Ukraine,EU,74,0.0,0.0
2020-01-07,Vietnam,AS,14,0.0,0.0
2020-01-08,United Arab Emirates,AS,644,0.0,0.0
2020-01-08,Armenia,AS,25,0.0,
2020-01-08,Austria,EU,363,0.0,0.0
2020-01-08,Bangladesh,AS,5,0.0,0.0
2020-01-08,Belgium,EU,351,0.0,0.0
2020-01-08,Bulgaria,EU,1,0.0,0.0
2020-01-08,Bahrain,AS,87,0.0,0.0
2020-01-08,Brunei,AS,21,0.0,11.11
2020-01-08,Belarus,EU,49,0.0,0.0
2020-01-08,Switzerland,EU,585,0.0,0.0
2020-01-08,China,AS,382,0.0,2.78
2020-01-08,Cyprus,AS,1,0.0,0.0
2020-01-08,Czechia,EU,122,0.0,0.0
2020-01-08,Germany,EU,2086,0.0,0.0
2020-01-08,Denmark,EU,379,0.0,0.0
2020-01-08,Estonia,EU,38,0.0,0.0
